	Code	0
17	LU	763073547.5
25	SI	867641760.8
18	LV	955294084.36
12	HR	1122119870.06
16	LT	1567714774.24
7	EE	1632597206.94
14	IE	2271559887.52
20	NO	2605474798.0
22	PT	2617816127.9
3	CH	2976398223.0
9	FI	3219114876.03
26	SK	3729079194.0
2	BG	3872116205.0
6	DK	4019912157.0
11	GR	4128961555.2
24	SE	4884358828.5
13	HU	4894583922.5
0	AT	5012389867.0
23	RO	8629362368.0
1	BE	11136231198.0
4	CZ	11438838394.0
19	NL	11497617517.0
8	ES	14876189214.0
15	IT	24806680828.0
21	PL	26860749828.0
10	FR	35395301636.0
27	UK	61765207420.0
5	DE	86899648640.0
