country	country_code	technology	installed_capacity_MW
Austria	AT	Fossil Peat 	0
Austria	AT	Nuclear 	0
Austria	AT	Fossil Hard coal 	0
Austria	AT	Wind Onshore 	3500
Austria	AT	Fossil Brown coal/Lignite 	0
Austria	AT	Geothermal 	0
Austria	AT	Hydro Run-of-river and poundage 	5837
Austria	AT	Hydro Water Reservoir 	2475
Austria	AT	Wind Offshore 	0
Austria	AT	Hydro Pumped Storage 	3503
Austria	AT	Other renewable 	0
Austria	AT	Solar 	2500
Austria	AT	Fossil Oil shale 	0
Austria	AT	Waste 	103
Austria	AT	Fossil Gas 	4350
Austria	AT	Fossil Coal-derived gas 	0
Austria	AT	Fossil Oil 	164
Austria	AT	Marine 	0
Austria	AT	Other 	954
Austria	AT	Biomass 	482
Belgium	BE	Fossil Peat 	n/e
Belgium	BE	Nuclear 	5943
Belgium	BE	Fossil Hard coal 	n/e
Belgium	BE	Wind Onshore 	2787
Belgium	BE	Fossil Brown coal/Lignite 	n/e
Belgium	BE	Geothermal 	n/e
Belgium	BE	Hydro Run-of-river and poundage 	185
Belgium	BE	Hydro Water Reservoir 	n/e
Belgium	BE	Wind Offshore 	2254
Belgium	BE	Hydro Pumped Storage 	1308
Belgium	BE	Other renewable 	n/e
Belgium	BE	Solar 	4788
Belgium	BE	Fossil Oil shale 	n/e
Belgium	BE	Waste 	384
Belgium	BE	Fossil Gas 	6819
Belgium	BE	Fossil Coal-derived gas 	n/e
Belgium	BE	Fossil Oil 	398
Belgium	BE	Marine 	n/e
Belgium	BE	Other 	19
Belgium	BE	Biomass 	700
Bulgaria	BG	Fossil Peat 	0
Bulgaria	BG	Nuclear 	2080
Bulgaria	BG	Fossil Hard coal 	356
Bulgaria	BG	Wind Onshore 	705
Bulgaria	BG	Fossil Brown coal/Lignite 	4119
Bulgaria	BG	Geothermal 	0
Bulgaria	BG	Hydro Run-of-river and poundage 	540
Bulgaria	BG	Hydro Water Reservoir 	1810
Bulgaria	BG	Wind Offshore 	0
Bulgaria	BG	Hydro Pumped Storage 	864
Bulgaria	BG	Other renewable 	0
Bulgaria	BG	Solar 	1726
Bulgaria	BG	Fossil Oil shale 	0
Bulgaria	BG	Waste 	6
Bulgaria	BG	Fossil Gas 	1305
Bulgaria	BG	Fossil Coal-derived gas 	0
Bulgaria	BG	Fossil Oil 	0
Bulgaria	BG	Marine 	0
Bulgaria	BG	Other 	0
Bulgaria	BG	Biomass 	74
Croatia	HR	Fossil Peat 	n/e
Croatia	HR	Nuclear 	n/e
Croatia	HR	Fossil Hard coal 	217
Croatia	HR	Wind Onshore 	925
Croatia	HR	Fossil Brown coal/Lignite 	n/e
Croatia	HR	Geothermal 	10
Croatia	HR	Hydro Run-of-river and poundage 	428
Croatia	HR	Hydro Water Reservoir 	1446
Croatia	HR	Wind Offshore 	n/e
Croatia	HR	Hydro Pumped Storage 	281
Croatia	HR	Other renewable 	57
Croatia	HR	Solar 	96
Croatia	HR	Fossil Oil shale 	n/e
Croatia	HR	Waste 	6
Croatia	HR	Fossil Gas 	750
Croatia	HR	Fossil Coal-derived gas 	n/e
Croatia	HR	Fossil Oil 	75
Croatia	HR	Marine 	n/e
Croatia	HR	Other 	n/e
Croatia	HR	Biomass 	111
Czech Republic	CZ	Fossil Peat 	n/e
Czech Republic	CZ	Nuclear 	4040
Czech Republic	CZ	Fossil Hard coal 	1200
Czech Republic	CZ	Wind Onshore 	339
Czech Republic	CZ	Fossil Brown coal/Lignite 	7250
Czech Republic	CZ	Geothermal 	n/e
Czech Republic	CZ	Hydro Run-of-river and poundage 	356
Czech Republic	CZ	Hydro Water Reservoir 	753
Czech Republic	CZ	Wind Offshore 	n/e
Czech Republic	CZ	Hydro Pumped Storage 	1172
Czech Republic	CZ	Other renewable 	410
Czech Republic	CZ	Solar 	2053
Czech Republic	CZ	Fossil Oil shale 	n/e
Czech Republic	CZ	Waste 	100
Czech Republic	CZ	Fossil Gas 	1240
Czech Republic	CZ	Fossil Coal-derived gas 	380
Czech Republic	CZ	Fossil Oil 	0
Czech Republic	CZ	Marine 	n/e
Czech Republic	CZ	Other 	0
Czech Republic	CZ	Biomass 	410
Denmark	DK	Fossil Peat 	n/e
Denmark	DK	Nuclear 	n/e
Denmark	DK	Fossil Hard coal 	3165
Denmark	DK	Wind Onshore 	4644
Denmark	DK	Fossil Brown coal/Lignite 	n/e
Denmark	DK	Geothermal 	n/e
Denmark	DK	Hydro Run-of-river and poundage 	7
Denmark	DK	Hydro Water Reservoir 	n/e
Denmark	DK	Wind Offshore 	2305
Denmark	DK	Hydro Pumped Storage 	n/e
Denmark	DK	Other renewable 	137
Denmark	DK	Solar 	1536
Denmark	DK	Fossil Oil shale 	n/e
Denmark	DK	Waste 	384
Denmark	DK	Fossil Gas 	1621
Denmark	DK	Fossil Coal-derived gas 	n/e
Denmark	DK	Fossil Oil 	997
Denmark	DK	Marine 	n/e
Denmark	DK	Other 	n/e
Denmark	DK	Biomass 	1870
Estonia	EE	Fossil Peat 	N/A
Estonia	EE	Nuclear 	N/A
Estonia	EE	Fossil Hard coal 	N/A
Estonia	EE	Wind Onshore 	326
Estonia	EE	Fossil Brown coal/Lignite 	N/A
Estonia	EE	Geothermal 	N/A
Estonia	EE	Hydro Run-of-river and poundage 	4
Estonia	EE	Hydro Water Reservoir 	N/A
Estonia	EE	Wind Offshore 	N/A
Estonia	EE	Hydro Pumped Storage 	N/A
Estonia	EE	Other renewable 	N/A
Estonia	EE	Solar 	370
Estonia	EE	Fossil Oil shale 	1371
Estonia	EE	Waste 	17
Estonia	EE	Fossil Gas 	94
Estonia	EE	Fossil Coal-derived gas 	25
Estonia	EE	Fossil Oil 	52
Estonia	EE	Marine 	N/A
Estonia	EE	Other 	13
Estonia	EE	Biomass 	130
Finland	FI	Fossil Peat 	1116
Finland	FI	Nuclear 	2794
Finland	FI	Fossil Hard coal 	1682
Finland	FI	Wind Onshore 	3184
Finland	FI	Fossil Brown coal/Lignite 	n/e
Finland	FI	Geothermal 	n/e
Finland	FI	Hydro Run-of-river and poundage 	3167
Finland	FI	Hydro Water Reservoir 	n/e
Finland	FI	Wind Offshore 	n/e
Finland	FI	Hydro Pumped Storage 	n/e
Finland	FI	Other renewable 	322
Finland	FI	Solar 	7
Finland	FI	Fossil Oil shale 	n/e
Finland	FI	Waste 	114
Finland	FI	Fossil Gas 	1935
Finland	FI	Fossil Coal-derived gas 	n/e
Finland	FI	Fossil Oil 	1051
Finland	FI	Marine 	n/e
Finland	FI	Other 	462
Finland	FI	Biomass 	1895
France	FR	Fossil Peat 	n/e
France	FR	Nuclear 	61370
France	FR	Fossil Hard coal 	1816
France	FR	Wind Onshore 	19516
France	FR	Fossil Brown coal/Lignite 	n/e
France	FR	Geothermal 	2
France	FR	Hydro Run-of-river and poundage 	11834
France	FR	Hydro Water Reservoir 	8785
France	FR	Wind Offshore 	20
France	FR	Hydro Pumped Storage 	5050
France	FR	Other renewable 	n/e
France	FR	Solar 	13154
France	FR	Fossil Oil shale 	n/e
France	FR	Waste 	947
France	FR	Fossil Gas 	13074
France	FR	Fossil Coal-derived gas 	n/e
France	FR	Fossil Oil 	2762
France	FR	Marine 	243
France	FR	Other 	1157
France	FR	Biomass 	1301
Germany	DE	Fossil Peat 	n/e
Germany	DE	Nuclear 	4056
Germany	DE	Fossil Hard coal 	18830
Germany	DE	Wind Onshore 	55289
Germany	DE	Fossil Brown coal/Lignite 	18544
Germany	DE	Geothermal 	51
Germany	DE	Hydro Run-of-river and poundage 	3660
Germany	DE	Hydro Water Reservoir 	1397
Germany	DE	Wind Offshore 	7787
