	zone	emissions_1970_2021
0	AT	3425.5555204190523
1	BE	6193.5977594767
2	BG	3378.4569065554247
3	CH	2261.298998127388
4	CZ	7704.815432694662
5	DK	2797.4497718747207
6	DE	49056.68854667077
7	EE	1289.4468896160272
8	ES	13032.851393776013
9	FR	21127.805012350247
10	FI	2855.3491779621427
11	GR	3760.4420593203054
12	HR	1183.053002842452
13	HU	3474.323940594882
14	IE	1803.0145118986643
15	IT	20934.397722773985
16	LT	1090.845546323649
17	LU	595.8820727509947
18	LV	667.7591297821906
19	NL	8541.511041009338
20	NO	2161.007148819158
21	PL	18809.440630712746
22	PT	2275.2832203346047
23	RO	6975.6854518259215
24	SI	756.0300196904333
25	SE	3281.940877407383
26	SK	2437.3209004277087
27	UK	28568.887432104195
