country	land_area_2021	source
AT	82520	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
BE	30280	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
BG	108560	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
CH	39516	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
CY	9240	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
CZ	77200	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
DE	349380	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
DK	40000	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
EE	43470	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
ES	499603	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
FI	303920	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
FR	547557	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
GB	241930	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
GR	128900	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
HR	56590	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
HU	91260	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
IE	68890	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
IS	100830	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
IT	297730	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
LT	62630	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
LU	2430	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
LV	62090	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
MT	320	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
NL	33670	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
NO	365107	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
PL	306170	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
PT	91605	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
RO	230080	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
SE	407310	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
SI	20136	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
SK	48080	https://data.worldbank.org/indicator/AG.LND.TOTL.K2
