"Zone1"	"Zone2"	"Tech"	"links_cap"	"links_dist"
"AT"	"HU"	"HVAC400KV"	2400	400
"AT"	"CZ"	"HVAC400KV"	3000	255
"AT"	"CH"	"HVAC400KV"	3600	456
"AT"	"DE"	"HVAC400KV"	18900	471
"AT"	"SI"	"HVAC400KV"	2700	172
"AT"	"IT"	"HVAC400KV"	3975	562
"BE"	"LU"	"HVAC400KV"	0	140
"BE"	"FR"	"HVAC400KV"	14400	483
"BE"	"NL"	"HVAC400KV"	11700	192
"BE"	"DE"	"HVAC400KV"	3000	426
"BE"	"UK"	"HVDCSubsea"	3000	756
"BG"	"GR"	"HVAC400KV"	3900	458
"BG"	"RO"	"HVAC400KV"	3600	343
"CH"	"FR"	"HVAC400KV"	9600	433
"CH"	"DE"	"HVAC400KV"	8700	498
"CH"	"IT"	"HVAC400KV"	9030	553
"CZ"	"SK"	"HVAC400KV"	3600	323
"CZ"	"PL"	"HVAC400KV"	2400	391
"CZ"	"DE"	"HVAC400KV"	5400	382
"DE"	"SE"	"HVDCSubsea"	3930	1309
"DE"	"PL"	"HVAC400KV"	9300	638
"DE"	"LU"	"HVAC400KV"	3000	337
"DE"	"FR"	"HVAC400KV"	13500	762
"DE"	"NL"	"HVAC400KV"	11700	358
"DE"	"DK"	"HVAC400KV"	13500	546
"DE"	"UK"	"HVDCSubsea"	4200	1032
"DK"	"SE"	"HVAC400KV"	3900	796
"DK"	"UK"	"HVDCSubsea"	4200	812
"EE"	"FI"	"HVDCSubsea"	1050	621
"EE"	"LV"	"HVAC400KV"	4050	205
"ES"	"PT"	"HVAC400KV"	10200	390
"ES"	"FR"	"HVAC400KV"	19500	837
"ES"	"UK"	"HVDCSubsea"	2700	1658
"ES"	"FR"	"HVDCSubsea"	2700	801
"FI"	"SE"	"HVAC400KV"	8850	535
"FR"	"IT"	"HVAC400KV"	6585	873
"FR"	"UK"	"HVDCSubsea"	25425	920
"FR"	"IE"	"HVDCSubsea"	2100	1093
"UK"	"IE"	"HVDCSubsea"	6090	368
"UK"	"NL"	"HVDCSubsea"	6000	591
"GR"	"IT"	"HVDCSubsea"	1500	995
"HR"	"SI"	"HVAC400KV"	3450	170
"HR"	"HU"	"HVAC400KV"	3600	329
"HU"	"SI"	"HVAC400KV"	3600	361
"HU"	"SK"	"HVAC400KV"	7800	172
"HU"	"RO"	"HVAC400KV"	7602	453
"IT"	"SI"	"HVAC400KV"	5475	431
"LT"	"LV"	"HVAC400KV"	4500	182
"LT"	"SE"	"HVDCSubsea"	0	902
"LT"	"PL"	"HVAC400KV"	2100	464
"PL"	"SE"	"HVDCSubsea"	1800	1159
"PL"	"SK"	"HVAC400KV"	1500	378
"DE"	"NO"	"HVDCSubsea"	4200	1042
"DK"	"NO"	"HVDCSubsea"	2850	899
"FI"	"NO"	"HVAC400KV"	360	674
"NL"	"NO"	"HVDCSubsea"	2100	1360
"NO"	"SE"	"HVAC400KV"	13560	265
"UK"	"NO"	"HVDCSubsea"	8400	900
